,top1_101,top2_20,top3_18,top4_192,top5_74,top6_331,top7_28,top8_48,top9_47,top10_252,top11_249,top12_236,top13_237,top14_344,top15_50,top16_225,top17_41,top18_7,top19_83,top20_322,top21_258,top22_207,top23_193,top24_138,top25_64
io_api,posix,posix,posix,mpiio,posix,posix,posix,mpiio,posix,posix,mpiio,posix,posix,posix,mpiio,posix,mpiio,posix,posix,posix,posix,posix,mpiio,posix,posix
meta_api,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix,posix
mpi_collective_mode,none,none,none,True,none,none,none,False,none,none,False,none,none,none,False,none,True,none,none,none,none,none,True,none,none
nprocs,1,1,1,1,1,4,1,16,40,1,512,1,32,64,4,8,160,4,4,8,1,64,512,1,16
cluster,101,20,18,192,74,331,28,48,47,252,249,236,237,344,50,225,41,7,83,322,258,207,193,138,64
pct_file_not_aligned,0.6,0.33,0.33,0.0,0.44,1.0,0.06,0.92,0.98,0.33,1.0,0.46,0.43,0.71,0.71,0.88,0.03,1.0,1.0,0.98,0.67,0.2,0.01,0.95,0.98
pct_mem_not_aligned,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
pct_reads,0.8,0.33,0.33,0.0,0.5,1.0,0.06,0.62,0.83,0.67,0.0,0.0,0.92,0.07,0.57,0.0,0.02,1.0,0.43,0.0,0.67,0.3,0.0,0.96,0.21
pct_writes,0.2,0.67,0.67,1.0,0.5,0.0,0.94,0.38,0.17,0.33,1.0,1.0,0.08,0.93,0.43,1.0,0.98,0.0,0.57,1.0,0.33,0.7,1.0,0.04,0.79
pct_consec_reads,0.5,0.5,0.5,0.0,0.32,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.62,0.5,0.0,0.0,0.23,1.0,0.01,0.0,0.75,0.33,0.0,0.97,0.78
pct_consec_writes,0.0,0.25,0.25,1.0,0.03,0.76,0.0,0.0,0.0,0.0,0.0,0.04,0.99,0.38,0.0,0.73,0.0,0.76,0.24,0.29,0.25,0.71,0.01,0.05,0.99
pct_seq_reads,0.5,0.5,0.5,0.0,0.32,1.0,0.66,0.94,0.98,0.0,0.0,0.0,0.94,0.5,0.75,0.0,0.23,1.0,0.62,0.0,0.75,0.33,0.0,0.97,0.86
pct_seq_writes,1.0,0.5,0.5,1.0,0.55,0.76,0.0,0.9,1.0,1.0,1.0,0.46,0.99,0.7,0.67,0.84,0.07,0.76,0.83,0.97,0.5,0.71,1.0,0.45,1.0
pct_rw_switches,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.28,0.0,0.0,0.1,0.0,0.02,0.0
pct_byte_reads,1.0,0.5,0.75,0.0,0.5,1.0,0.0,0.0,0.01,1.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.99,0.33,0.0,0.86,0.65
pct_byte_writes,0.0,0.5,0.25,1.0,0.5,0.0,1.0,1.0,0.99,0.0,1.0,1.0,0.0,0.96,1.0,1.0,1.0,0.0,1.0,1.0,0.01,0.67,1.0,0.14,0.35
pct_io_access,0.18,0.21,0.21,0.98,0.27,0.48,0.5,0.32,0.28,0.17,0.92,0.27,0.75,0.3,0.29,0.86,0.09,0.36,1.0,0.89,0.36,0.77,0.78,0.45,0.98
pct_meta_open_access,0.43,0.5,0.5,0.01,0.28,0.48,0.5,0.42,0.47,0.5,0.04,0.47,0.05,0.5,0.42,0.05,0.2,0.45,0.0,0.08,0.33,0.23,0.11,0.46,0.02
pct_meta_stat_access,0.07,0.0,0.0,0.01,0.18,0.04,0.0,0.25,0.25,0.0,0.0,0.03,0.17,0.0,0.29,0.09,0.54,0.09,0.0,0.03,0.06,0.0,0.0,0.04,0.0
pct_meta_seek_access,0.18,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.22,0.03,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0
pct_meta_sync_access,0.14,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.17,0.09,0.0,0.0,0.18,0.0,0.11,0.04,0.0
pct_read_0_100K,0.5,0.0,0.0,0.0,0.91,1.0,0.87,1.0,0.0,0.0,0.0,0.0,0.97,0.75,0.0,0.0,0.93,1.0,1.0,0.0,0.0,0.67,0.0,1.0,0.91
pct_read_100K_10M,0.0,0.0,0.0,0.0,0.08,0.0,0.13,0.0,1.0,0.0,0.0,0.0,0.03,0.25,1.0,0.0,0.07,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.09
pct_read_10M_1G_PLUS,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01
pct_write_0_100K,1.0,0.5,0.5,0.0,0.92,1.0,0.0,0.0,0.0,1.0,0.0,0.54,0.99,0.67,0.0,0.2,0.83,1.0,0.77,0.68,0.5,0.22,0.0,0.99,0.99
pct_write_100K_10M,0.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.33,0.0,0.8,0.12,0.0,0.0,0.32,0.0,0.78,1.0,0.01,0.01
pct_write_10M_1G_PLUS,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.46,0.0,0.0,1.0,0.01,0.04,0.0,0.23,0.0,0.5,0.0,0.0,0.0,0.0
pct_shared_files,1.0,1.0,1.0,1.0,1.0,0.06,1.0,1.0,1.0,1.0,1.0,1.0,0.66,0.06,1.0,0.0,0.61,0.01,0.04,0.04,1.0,0.97,1.0,1.0,0.06
pct_bytes_shared_files,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,0.09,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.66,1.0,1.0,0.08
pct_unique_files,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.94,0.0,1.0,0.39,0.99,0.96,0.96,0.0,0.03,0.0,0.0,0.94
pct_bytes_unique_files,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.91,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.34,0.0,0.0,0.92
pct_read_only_files,0.67,0.25,0.25,0.0,0.13,0.5,0.0,0.5,0.5,0.67,0.0,0.0,0.87,0.0,0.5,0.0,0.14,0.46,0.0,0.0,0.4,0.0,0.0,0.17,0.51
pct_bytes_read_only_files,1.0,0.5,0.75,0.0,0.02,1.0,0.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.99,0.0,0.0,0.84,0.65
pct_read_write_files,0.0,0.0,0.0,0.0,0.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.0,0.0,0.29,0.08,1.0,0.0,0.0,0.97,0.0,0.35,0.0
pct_bytes_read_write_files,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.66,0.0,0.03,0.0
pct_write_only_files,0.33,0.75,0.75,1.0,0.36,0.43,1.0,0.5,0.5,0.33,1.0,1.0,0.12,0.94,0.5,1.0,0.57,0.46,0.0,1.0,0.6,0.03,1.0,0.48,0.49
pct_bytes_write_only_files,0.0,0.5,0.25,1.0,0.03,0.0,1.0,1.0,0.99,0.0,1.0,1.0,0.0,0.91,1.0,1.0,0.99,0.0,0.0,1.0,0.01,0.34,1.0,0.13,0.35