workload,nprocs,cap_total_gib,io_bytes_target,intent_target_read_frac,intent_target_write_frac,realized_read_bytes,realized_write_bytes,realized_read_frac,realized_write_frac,produced_total,target_total,delta_total,role_target_ro_frac,role_target_rw_frac,role_target_wo_frac,role_realized_ro_bytes,role_realized_rw_bytes,role_realized_wo_bytes,shared_target_frac,unique_target_frac,shared_realized_bytes,unique_realized_bytes,file_count_ro,file_count_rw,file_count_wo,file_count_shared,file_count_unique,ops_total_nio,ops_read_nr,ops_write_nw,zero_policy_read_mode,zero_policy_write_mode,align_requested_pct_file_not_aligned,align_fs_bytes,align_mem_bytes,align_intrinsic_unaligned_ops,align_total_ops,align_intrinsic_floor_frac,align_eligible_ops,align_predicted_unaligned_frac,rw_switches_target_frac,meta_planned_open,meta_planned_stat,meta_planned_seek,meta_planned_sync,meta_scope
top1_101,2,1.00,64.00 GiB,1.00,0.00,63.97 GiB,268.41 KiB,1.0000,0.0000,63.97 GiB,64.00 GiB,-28.33 MiB,1.0,0.0,0.0,63.97 GiB,0.00 B,268.41 KiB,1.0,0.0,63.97 GiB,0.00 B,2,0,1,3,0,10229,8179,2050,normal,"BYTES≈0, OPS>0 (many, tiny ops)",0.60,4096,8,2047,10224,0.2002,8177,0.6801,0.00,24436,3978,10229,7956,shared if nprocs>1 else unique
top2_20,2,1.00,64.00 GiB,0.50,0.50,32.01 GiB,32.01 GiB,0.5000,0.5000,64.01 GiB,64.00 GiB,+13.00 MiB,0.5,0.0,0.5,32.01 GiB,0.00 B,32.01 GiB,1.0,0.0,64.01 GiB,0.00 B,1,0,3,4,0,6156,2031,4125,normal,normal,0.33,4096,8,6,6156,0.0010,6150,0.3307,0.00,14657,0,8501,0,shared if nprocs>1 else unique
top3_18,2,1.00,64.00 GiB,0.75,0.25,66.52 GiB,22.16 GiB,0.7501,0.2499,88.68 GiB,64.00 GiB,+24.68 GiB,0.75,0.0,0.25,66.52 GiB,0.00 B,22.16 GiB,1.0,0.0,88.68 GiB,0.00 B,1,0,3,4,0,6156,2031,4125,normal,normal,0.33,4096,8,2056,6156,0.3340,4100,0.5538,0.00,14657,0,8501,0,shared if nprocs>1 else unique
top4_192,2,1.00,64.00 GiB,0.00,1.00,0.00 B,64.00 GiB,0.0000,1.0000,64.00 GiB,64.00 GiB,-256.00 KiB,0.0,0.0,1.0,0.00 B,0.00 B,64.00 GiB,1.0,0.0,64.00 GiB,0.00 B,0,0,1,1,0,37449,0,37449,"OPS≈0, BYTES≈0 (ε presence if signals)",normal,0.00,4096,8,0,37449,0.0000,37449,0.0000,0.00,382,382,0,0,shared if nprocs>1 else unique
top5_74,2,1.00,64.00 GiB,0.50,0.50,32.36 GiB,32.36 GiB,0.5000,0.5000,64.72 GiB,64.00 GiB,+732.63 MiB,0.02,0.95,0.03,1.38 GiB,61.30 GiB,2.04 GiB,1.0,0.0,64.72 GiB,0.00 B,1,4,3,8,0,419510,209755,209755,normal,normal,0.44,4096,8,165820,419510,0.3953,253690,0.6614,0.30,435048,279673,0,419510,shared if nprocs>1 else unique
top6_331,4,1.00,64.00 GiB,1.00,0.00,2.05 GiB,0.00 B,1.0000,0.0000,2.05 GiB,64.00 GiB,-61.95 GiB,1.0,0.0,0.0,2.05 GiB,0.00 B,0.00 B,0.0,1.0,0.00 B,2.05 GiB,9,1,7,1,16,3886813,3885357,1456,normal,"OPS≈0, BYTES≈0 (ε presence if signals)",1.00,4096,8,3884871,3884871,1.0000,0,1.0000,0.00,3886813,323901,0,0,shared if nprocs>1 else unique
top7_28,2,1.00,64.00 GiB,0.00,1.00,13.09 MiB,64.03 GiB,0.0002,0.9998,64.04 GiB,64.00 GiB,+45.09 MiB,0.0,0.0,1.0,13.09 MiB,0.00 B,64.03 GiB,1.0,0.0,64.04 GiB,0.00 B,1,0,63,64,0,4355,263,4092,"BYTES≈0, OPS>0 (many, tiny ops)",normal,0.06,4096,8,225,4353,0.0517,4128,0.1086,0.00,4355,0,0,0,shared if nprocs>1 else unique
top8_48,16,1.00,64.00 GiB,0.00,1.00,720.17 KiB,63.94 GiB,0.0000,1.0000,63.94 GiB,64.00 GiB,-63.30 MiB,0.0,0.0,1.0,720.17 KiB,0.00 B,63.94 GiB,1.0,0.0,63.94 GiB,0.00 B,1,0,1,2,0,10776,6687,4089,"BYTES≈0, OPS>0 (many, tiny ops)",normal,0.92,4096,8,6669,10760,0.6198,4091,0.9696,0.00,14355,8544,0,0,shared if nprocs>1 else unique
top9_47,40,1.00,64.00 GiB,0.01,0.99,1.59 GiB,166.77 GiB,0.0095,0.9905,168.36 GiB,64.00 GiB,+104.36 GiB,0.01,0.0,0.99,1.59 GiB,0.00 B,166.77 GiB,1.0,0.0,168.36 GiB,0.00 B,1,0,1,2,0,15707,13037,2670,normal,normal,0.98,4096,8,0,15707,0.0000,15707,0.9800,0.00,26365,14024,0,0,shared if nprocs>1 else unique
top10_252,2,1.00,64.00 GiB,1.00,0.00,64.02 GiB,265.58 KiB,1.0000,0.0000,64.02 GiB,64.00 GiB,+16.26 MiB,1.0,0.0,0.0,64.02 GiB,0.00 B,265.58 KiB,1.0,0.0,64.02 GiB,0.00 B,2,0,1,3,0,6113,4094,2019,normal,"BYTES≈0, OPS>0 (many, tiny ops)",0.33,4096,8,2014,6110,0.3296,4096,0.5508,0.00,17980,0,11866,0,shared if nprocs>1 else unique
top11_249,512,1.00,64.00 GiB,0.00,1.00,0.00 B,64.00 GiB,0.0000,1.0000,64.00 GiB,64.00 GiB,-256.00 KiB,0.0,0.0,1.0,0.00 B,0.00 B,64.00 GiB,1.0,0.0,64.00 GiB,0.00 B,0,0,1,1,0,37449,0,37449,"OPS≈0, BYTES≈0 (ε presence if signals)",normal,1.00,4096,8,0,37449,0.0000,37449,1.0000,0.00,1628,0,0,1628,shared if nprocs>1 else unique
top12_236,2,1.00,64.00 GiB,0.00,1.00,0.00 B,64.01 GiB,0.0000,1.0000,64.01 GiB,64.00 GiB,+7.31 MiB,0.0,0.0,1.0,0.00 B,0.00 B,64.01 GiB,1.0,0.0,64.01 GiB,0.00 B,0,0,1,1,0,8893,0,8893,"OPS≈0, BYTES≈0 (ε presence if signals)",normal,0.46,4096,8,2208,8893,0.2483,6685,0.5941,0.00,15695,1002,7347,0,shared if nprocs>1 else unique
top13_237,32,1.00,64.00 GiB,1.00,0.00,66.26 GiB,152.65 MiB,0.9978,0.0022,66.41 GiB,64.00 GiB,+2.41 GiB,1.0,0.0,0.0,66.10 GiB,180.34 MiB,139.53 MiB,0.91,0.09,60.49 GiB,5.92 GiB,55,1,8,43,21,992106,948896,43210,normal,"BYTES≈0, OPS>0 (many, tiny ops)",0.43,4096,8,377457,991611,0.3807,614154,0.6470,0.00,66140,224877,39684,0,shared if nprocs>1 else unique
top14_344,64,1.00,64.00 GiB,0.04,0.96,2.54 GiB,61.07 GiB,0.0400,0.9600,63.62 GiB,64.00 GiB,-390.57 MiB,0.0,0.09,0.91,0.00 B,6.26 GiB,57.36 GiB,0.09,0.91,5.77 GiB,57.84 GiB,0,3,47,3,47,113169,7922,105247,normal,normal,0.71,4096,8,60942,113169,0.5385,52227,0.8662,0.00,188615,0,75446,0,shared if nprocs>1 else unique
top15_50,4,1.00,64.00 GiB,0.00,1.00,1.16 GiB,64.00 GiB,0.0178,0.9822,65.16 GiB,64.00 GiB,+1.16 GiB,0.0,0.0,1.0,1.16 GiB,0.00 B,64.00 GiB,1.0,0.0,65.16 GiB,0.00 B,1,0,1,2,0,8323,4746,3577,"BYTES≈0, OPS>0 (many, tiny ops)",normal,0.71,4096,8,0,8319,0.0000,8319,0.7100,0.00,12054,8323,0,0,shared if nprocs>1 else unique
top16_225,8,1.00,64.00 GiB,0.00,1.00,0.00 B,63.89 GiB,0.0000,1.0000,63.89 GiB,64.00 GiB,-108.63 MiB,0.0,0.0,1.0,0.00 B,0.00 B,63.89 GiB,0.0,1.0,0.00 B,63.89 GiB,0,0,1,0,1,42339,0,42339,"OPS≈0, BYTES≈0 (ε presence if signals)",normal,0.88,4096,8,6892,42339,0.1628,35447,0.8995,0.00,2461,4431,0,0,shared if nprocs>1 else unique
top17_41,160,1.00,64.00 GiB,0.00,1.00,36.02 MiB,64.95 GiB,0.0005,0.9995,64.98 GiB,64.00 GiB,+1006.88 MiB,0.0,0.01,0.99,4.00 KiB,577.98 MiB,64.42 GiB,1.0,0.0,64.72 GiB,273.99 MiB,1,2,4,5,2,76539,1608,74931,"BYTES≈0, OPS>0 (many, tiny ops)",normal,0.03,4096,8,2046,76379,0.0268,74333,0.0560,0.01,170087,459234,0,144574,shared if nprocs>1 else unique
top18_7,4,1.00,64.00 GiB,1.00,0.00,2.10 GiB,0.00 B,1.0000,0.0000,2.10 GiB,64.00 GiB,-61.90 GiB,1.0,0.0,0.0,2.10 GiB,0.00 B,0.00 B,0.0,1.0,0.00 B,2.10 GiB,30,5,29,1,63,3886813,3885360,1453,normal,"OPS≈0, BYTES≈0 (ε presence if signals)",1.00,4096,8,3884871,3884871,1.0000,0,1.0000,0.00,4935636,987127,0,987127,shared if nprocs>1 else unique
top19_83,4,1.00,64.00 GiB,0.00,1.00,1.29 MiB,63.58 GiB,0.0000,1.0000,63.58 GiB,64.00 GiB,-433.66 MiB,0.0,1.0,0.0,0.00 B,63.58 GiB,0.00 B,0.0,1.0,1.77 GiB,61.81 GiB,0,25,0,1,24,31046,13352,17694,"BYTES≈0, OPS>0 (many, tiny ops)",normal,1.00,4096,8,13936,31027,0.4492,17091,1.0000,0.28,0,0,0,0,shared if nprocs>1 else unique
top20_322,8,1.00,64.00 GiB,0.00,1.00,0.00 B,62.85 GiB,0.0000,1.0000,62.85 GiB,64.00 GiB,-1.15 GiB,0.0,0.0,1.0,0.00 B,0.00 B,62.85 GiB,0.0,1.0,373.12 MiB,62.49 GiB,0,0,25,1,24,114679,0,114679,"OPS≈0, BYTES≈0 (ε presence if signals)",normal,0.98,4096,8,77932,114679,0.6796,36747,0.9936,0.00,10308,3866,0,0,shared if nprocs>1 else unique
top21_258,2,1.00,64.00 GiB,0.99,0.01,205.38 GiB,8.69 GiB,0.9594,0.0406,214.07 GiB,64.00 GiB,+150.07 GiB,0.99,0.0,0.01,205.38 GiB,0.00 B,8.69 GiB,1.0,0.0,214.07 GiB,0.00 B,2,0,3,5,0,4904,3286,1618,normal,normal,0.67,4096,8,809,4904,0.1650,4095,0.7244,0.00,4567,830,830,2491,shared if nprocs>1 else unique
top22_207,64,1.00,64.00 GiB,0.33,0.67,21.25 GiB,43.04 GiB,0.3306,0.6694,64.29 GiB,64.00 GiB,+299.33 MiB,0.0,0.66,0.34,0.00 B,42.86 GiB,21.43 GiB,0.66,0.34,42.86 GiB,21.43 GiB,0,32,1,32,1,57754,17326,40428,normal,normal,0.20,4096,8,130,57754,0.0023,57624,0.2018,0.10,17251,0,0,0,shared if nprocs>1 else unique
top23_193,512,1.00,64.00 GiB,0.00,1.00,0.00 B,64.00 GiB,0.0000,1.0000,64.00 GiB,64.00 GiB,-256.00 KiB,0.0,0.0,1.0,0.00 B,0.00 B,64.00 GiB,1.0,0.0,64.00 GiB,0.00 B,0,0,1,1,0,37449,0,37449,"OPS≈0, BYTES≈0 (ε presence if signals)",normal,0.01,4096,8,0,37449,0.0000,37449,0.0100,0.00,5282,0,0,5282,shared if nprocs>1 else unique
top24_138,2,1.00,64.00 GiB,0.86,0.14,7.61 GiB,1.46 GiB,0.8389,0.1611,9.08 GiB,64.00 GiB,-54.92 GiB,0.84,0.03,0.13,7.34 GiB,382.25 MiB,1.37 GiB,1.0,0.0,9.08 GiB,0.00 B,1,2,3,6,0,3731524,3582263,149261,normal,normal,0.95,4096,8,3548544,3731524,0.9510,182980,0.9975,0.02,3885085,337833,0,337833,shared if nprocs>1 else unique
top25_64,16,1.00,64.00 GiB,0.65,0.35,35.01 GiB,18.86 GiB,0.6499,0.3501,53.87 GiB,64.00 GiB,-10.13 GiB,0.65,0.0,0.35,35.01 GiB,0.00 B,18.86 GiB,0.08,0.92,4.31 GiB,49.57 GiB,9,0,8,1,16,681068,143024,538044,normal,normal,0.98,4096,8,661493,681068,0.9713,19575,0.9994,0.00,13899,0,0,0,shared if nprocs>1 else unique
